dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
classif_features_10_samples_100_seed_0,mutual_info,0,0,"[1, 5, 9, 7, 0, 2, 3, 4, 6, 8]","[1, 5]","[0.0301041  0.0275726  0.02289787 0.02369297 0.02191007 0.02344286
 0.02011318 0.02343635 0.02298609 0.01815396]"
classif_features_10_samples_100_seed_0,f_test,0,0,"[1, 2, 7, 4, 3, 6, 5, 0, 9, 8]","[1, 2]","[0.0019199  0.00157046 0.00163834 0.0015029  0.00141858 0.00188
 0.00170698 0.00159737 0.00148159 0.00185175]"
classif_features_10_samples_100_seed_0,pearson,0,0,"[1, 2, 7, 4, 3, 6, 5, 0, 9, 8]","[1, 2]","[0.00237029 0.00195005 0.00174245 0.00173454 0.00245701 0.00157697
 0.00155138 0.00154138 0.001617   0.00168828]"
classif_features_10_samples_100_seed_0,spearman,0,0,"[1, 4, 2, 3, 7, 5, 6, 9, 0, 8]","[1, 4]","[0.00267539 0.0025914  0.00277323 0.00286609 0.00251296 0.00224977
 0.00255928 0.00227798 0.00242064 0.00263513]"
classif_features_10_samples_100_seed_0,kendall,0,0,"[1, 4, 2, 3, 7, 5, 6, 9, 0, 8]","[1, 4]","[0.01813016 0.01676255 0.01616364 0.01566707 0.01560801 0.01510704
 0.01561469 0.01511024 0.01510511 0.01495055]"
classif_features_10_samples_100_seed_0,pps,0,0,"[3, 7, 6, 5, 2, 9, 4, 8, 0, 1]","[3, 7]","[0.09700316 0.08981507 0.09423097 0.08772249 0.08851126 0.0880899
 0.0873515  0.08839002 0.08939225 0.08849762]"
classif_features_10_samples_100_seed_0,mutual_info,0,1,"[1, 4, 5, 8, 0, 2, 3, 6, 7, 9]","[1, 4]","[0.02150014 0.02019237 0.01652128 0.01650162 0.01864379 0.01738334
 0.01531226 0.01480568 0.01559527 0.01586226]"
classif_features_10_samples_100_seed_0,f_test,0,1,"[1, 4, 0, 5, 8, 7, 3, 6, 2, 9]","[1, 4]","[0.00152591 0.00137117 0.00125266 0.00118731 0.0011805  0.00126387
 0.0013846  0.00118298 0.00120884 0.00122518]"
classif_features_10_samples_100_seed_0,pearson,0,1,"[1, 4, 0, 5, 8, 7, 3, 6, 2, 9]","[1, 4]","[0.00240798 0.0022729  0.00197628 0.00116792 0.00117733 0.00134819
 0.00140937 0.00165919 0.00143893 0.00136114]"
classif_features_10_samples_100_seed_0,spearman,0,1,"[1, 4, 0, 5, 8, 3, 6, 7, 9, 2]","[1, 4]","[0.00208434 0.00190183 0.00186097 0.00194512 0.00176851 0.00197294
 0.00209469 0.0025325  0.00238651 0.00228448]"
classif_features_10_samples_100_seed_0,kendall,0,1,"[1, 4, 0, 5, 8, 3, 6, 7, 9, 2]","[1, 4]","[0.01476484 0.01457291 0.01459735 0.01474835 0.01465233 0.01445626
 0.01442401 0.01576312 0.0149004  0.01488604]"
classif_features_10_samples_100_seed_0,pps,0,1,"[3, 9, 6, 2, 7, 8, 0, 4, 5, 1]","[3, 9]","[0.09898251 0.09392488 0.09428056 0.08871787 0.08741615 0.09243457
 0.08823464 0.08831459 0.0943025  0.09473236]"
classif_features_10_samples_100_seed_0,mutual_info,0,2,"[1, 7, 5, 4, 6, 0, 9, 2, 3, 8]","[1, 7]","[0.02285747 0.01988211 0.01671308 0.01658073 0.01748432 0.01659813
 0.01890018 0.02066892 0.01649354 0.01742472]"
classif_features_10_samples_100_seed_0,f_test,0,2,"[1, 2, 3, 5, 0, 7, 4, 6, 9, 8]","[1, 2]","[0.00162879 0.00144924 0.00136329 0.00136044 0.00149337 0.00137775
 0.00137171 0.00144842 0.00136714 0.00131659]"
classif_features_10_samples_100_seed_0,pearson,0,2,"[1, 2, 3, 5, 0, 7, 4, 6, 9, 8]","[1, 2]","[0.00237564 0.00181358 0.00180523 0.00182614 0.00159205 0.00139488
 0.00149791 0.00134869 0.00135976 0.00127654]"
classif_features_10_samples_100_seed_0,spearman,0,2,"[1, 3, 2, 7, 0, 4, 5, 6, 8, 9]","[1, 3]","[0.00229801 0.00215285 0.00223668 0.00224674 0.00212085 0.00180221
 0.00194598 0.00188893 0.00189199 0.00176617]"
classif_features_10_samples_100_seed_0,kendall,0,2,"[1, 3, 2, 7, 0, 4, 5, 6, 8, 9]","[1, 3]","[0.0145875  0.01447133 0.01449488 0.01442099 0.01440451 0.01432612
 0.01445007 0.01563814 0.01492113 0.01474255]"
classif_features_10_samples_100_seed_0,pps,0,2,"[8, 3, 9, 2, 0, 5, 4, 7, 6, 1]","[8, 3]","[0.10383825 0.09106225 0.09110103 0.08590879 0.0864485  0.08589985
 0.08677362 0.0869754  0.08662201 0.08931016]"
