imp_type,random_state,data_split,dataset,max_dropped
gini,0,1,boston,0.3846153846153846
mutual_info,0,1,boston,0.3076923076923077
f_test,0,1,boston,0.07692307692307687
pimp,0,1,boston,0.5384615384615384
shap,0,1,boston,0.5384615384615384
pearson,0,1,boston,0.07692307692307687
spearman,0,1,boston,0.23076923076923073
kendall,0,1,boston,0.23076923076923073
pps,0,1,boston,0.0
gini,1,1,boston,0.3846153846153846
mutual_info,1,1,boston,0.3076923076923077
f_test,1,1,boston,0.07692307692307687
pimp,1,1,boston,0.5384615384615384
shap,1,1,boston,0.5384615384615384
pearson,1,1,boston,0.07692307692307687
spearman,1,1,boston,0.23076923076923073
kendall,1,1,boston,0.23076923076923073
pps,1,1,boston,0.0
gini,2,1,boston,0.3076923076923077
mutual_info,2,1,boston,0.07692307692307687
f_test,2,1,boston,0.07692307692307687
pimp,2,1,boston,0.3076923076923077
shap,2,1,boston,0.23076923076923073
pearson,2,1,boston,0.07692307692307687
spearman,2,1,boston,0.07692307692307687
kendall,2,1,boston,0.07692307692307687
pps,2,1,boston,0.0
gini,3,1,boston,0.3846153846153846
mutual_info,3,1,boston,0.23076923076923073
f_test,3,1,boston,0.0
pimp,3,1,boston,0.3846153846153846
shap,3,1,boston,0.3846153846153846
pearson,3,1,boston,0.0
spearman,3,1,boston,0.23076923076923073
kendall,3,1,boston,0.23076923076923073
pps,3,1,boston,0.0
gini,4,1,boston,0.3076923076923077
mutual_info,4,1,boston,0.07692307692307687
f_test,4,1,boston,0.07692307692307687
pimp,4,1,boston,0.3076923076923077
shap,4,1,boston,0.46153846153846156
pearson,4,1,boston,0.07692307692307687
spearman,4,1,boston,0.07692307692307687
kendall,4,1,boston,0.07692307692307687
pps,4,1,boston,0.0
gini,5,1,boston,0.3076923076923077
mutual_info,5,1,boston,0.3076923076923077
f_test,5,1,boston,0.07692307692307687
pimp,5,1,boston,0.3076923076923077
shap,5,1,boston,0.46153846153846156
pearson,5,1,boston,0.07692307692307687
spearman,5,1,boston,0.23076923076923073
kendall,5,1,boston,0.23076923076923073
pps,5,1,boston,0.0
gini,6,1,boston,0.3076923076923077
mutual_info,6,1,boston,0.0
f_test,6,1,boston,0.0
pimp,6,1,boston,0.3076923076923077
shap,6,1,boston,0.0
pearson,6,1,boston,0.0
spearman,6,1,boston,0.0
kendall,6,1,boston,0.0
pps,6,1,boston,0.0
gini,7,1,boston,0.46153846153846156
mutual_info,7,1,boston,0.3076923076923077
f_test,7,1,boston,0.07692307692307687
pimp,7,1,boston,0.46153846153846156
shap,7,1,boston,0.46153846153846156
pearson,7,1,boston,0.07692307692307687
spearman,7,1,boston,0.23076923076923073
kendall,7,1,boston,0.23076923076923073
pps,7,1,boston,0.0
gini,8,1,boston,0.3846153846153846
mutual_info,8,1,boston,0.0
f_test,8,1,boston,0.0
pimp,8,1,boston,0.3846153846153846
shap,8,1,boston,0.3846153846153846
pearson,8,1,boston,0.0
spearman,8,1,boston,0.23076923076923073
kendall,8,1,boston,0.23076923076923073
pps,8,1,boston,0.0
gini,9,1,boston,0.23076923076923073
mutual_info,9,1,boston,0.23076923076923073
f_test,9,1,boston,0.0
pimp,9,1,boston,0.23076923076923073
shap,9,1,boston,0.07692307692307687
pearson,9,1,boston,0.0
spearman,9,1,boston,0.0
kendall,9,1,boston,0.0
pps,9,1,boston,0.0
gini,0,2,boston,0.3076923076923077
mutual_info,0,2,boston,0.07692307692307687
f_test,0,2,boston,0.07692307692307687
pimp,0,2,boston,0.46153846153846156
shap,0,2,boston,0.07692307692307687
pearson,0,2,boston,0.07692307692307687
spearman,0,2,boston,0.07692307692307687
kendall,0,2,boston,0.07692307692307687
pps,0,2,boston,0.0
gini,1,2,boston,0.3076923076923077
mutual_info,1,2,boston,0.3076923076923077
f_test,1,2,boston,0.07692307692307687
pimp,1,2,boston,0.3846153846153846
shap,1,2,boston,0.5384615384615384
pearson,1,2,boston,0.07692307692307687
spearman,1,2,boston,0.3076923076923077
kendall,1,2,boston,0.23076923076923073
pps,1,2,boston,0.0
gini,2,2,boston,0.3846153846153846
mutual_info,2,2,boston,0.3076923076923077
f_test,2,2,boston,0.07692307692307687
pimp,2,2,boston,0.46153846153846156
shap,2,2,boston,0.15384615384615385
pearson,2,2,boston,0.07692307692307687
spearman,2,2,boston,0.3076923076923077
kendall,2,2,boston,0.23076923076923073
pps,2,2,boston,0.0
gini,3,2,boston,0.0
mutual_info,3,2,boston,0.0
f_test,3,2,boston,0.0
pimp,3,2,boston,0.0
shap,3,2,boston,0.0
pearson,3,2,boston,0.0
spearman,3,2,boston,0.0
kendall,3,2,boston,0.0
pps,3,2,boston,0.0
gini,4,2,boston,0.3076923076923077
mutual_info,4,2,boston,0.23076923076923073
f_test,4,2,boston,0.07692307692307687
pimp,4,2,boston,0.3076923076923077
shap,4,2,boston,0.46153846153846156
pearson,4,2,boston,0.07692307692307687
spearman,4,2,boston,0.07692307692307687
kendall,4,2,boston,0.07692307692307687
pps,4,2,boston,0.0
gini,5,2,boston,0.0
mutual_info,5,2,boston,0.07692307692307687
f_test,5,2,boston,0.07692307692307687
pimp,5,2,boston,0.46153846153846156
shap,5,2,boston,0.07692307692307687
pearson,5,2,boston,0.07692307692307687
spearman,5,2,boston,0.23076923076923073
kendall,5,2,boston,0.23076923076923073
pps,5,2,boston,0.0
gini,6,2,boston,0.3846153846153846
mutual_info,6,2,boston,0.15384615384615385
f_test,6,2,boston,0.07692307692307687
pimp,6,2,boston,0.3846153846153846
shap,6,2,boston,0.5384615384615384
pearson,6,2,boston,0.07692307692307687
spearman,6,2,boston,0.23076923076923073
kendall,6,2,boston,0.23076923076923073
pps,6,2,boston,0.0
gini,7,2,boston,0.3846153846153846
mutual_info,7,2,boston,0.07692307692307687
f_test,7,2,boston,0.07692307692307687
pimp,7,2,boston,0.46153846153846156
shap,7,2,boston,0.3846153846153846
pearson,7,2,boston,0.07692307692307687
spearman,7,2,boston,0.15384615384615385
kendall,7,2,boston,0.15384615384615385
pps,7,2,boston,0.0
gini,8,2,boston,0.3846153846153846
mutual_info,8,2,boston,0.15384615384615385
f_test,8,2,boston,0.07692307692307687
pimp,8,2,boston,0.46153846153846156
shap,8,2,boston,0.46153846153846156
pearson,8,2,boston,0.07692307692307687
spearman,8,2,boston,0.07692307692307687
kendall,8,2,boston,0.07692307692307687
pps,8,2,boston,0.0
gini,9,2,boston,0.3076923076923077
mutual_info,9,2,boston,0.23076923076923073
f_test,9,2,boston,0.07692307692307687
pimp,9,2,boston,0.46153846153846156
shap,9,2,boston,0.3076923076923077
pearson,9,2,boston,0.07692307692307687
spearman,9,2,boston,0.23076923076923073
kendall,9,2,boston,0.23076923076923073
pps,9,2,boston,0.0
gini,0,3,boston,0.3076923076923077
mutual_info,0,3,boston,0.6153846153846154
f_test,0,3,boston,0.5384615384615384
pimp,0,3,boston,0.3076923076923077
shap,0,3,boston,0.0
pearson,0,3,boston,0.5384615384615384
spearman,0,3,boston,0.5384615384615384
kendall,0,3,boston,0.3846153846153846
pps,0,3,boston,0.0
gini,1,3,boston,0.3076923076923077
mutual_info,1,3,boston,0.5384615384615384
f_test,1,3,boston,0.5384615384615384
pimp,1,3,boston,0.3076923076923077
shap,1,3,boston,0.3076923076923077
pearson,1,3,boston,0.5384615384615384
spearman,1,3,boston,0.5384615384615384
kendall,1,3,boston,0.3846153846153846
pps,1,3,boston,0.0
gini,2,3,boston,0.3846153846153846
mutual_info,2,3,boston,0.6153846153846154
f_test,2,3,boston,0.5384615384615384
pimp,2,3,boston,0.3846153846153846
shap,2,3,boston,0.0
pearson,2,3,boston,0.5384615384615384
spearman,2,3,boston,0.5384615384615384
kendall,2,3,boston,0.23076923076923073
pps,2,3,boston,0.0
gini,3,3,boston,0.3846153846153846
mutual_info,3,3,boston,0.6153846153846154
f_test,3,3,boston,0.5384615384615384
pimp,3,3,boston,0.3846153846153846
shap,3,3,boston,0.0
pearson,3,3,boston,0.5384615384615384
spearman,3,3,boston,0.5384615384615384
kendall,3,3,boston,0.3846153846153846
pps,3,3,boston,0.0
gini,4,3,boston,0.3846153846153846
mutual_info,4,3,boston,0.3076923076923077
f_test,4,3,boston,0.0
pimp,4,3,boston,0.3846153846153846
shap,4,3,boston,0.0
pearson,4,3,boston,0.0
spearman,4,3,boston,0.23076923076923073
kendall,4,3,boston,0.23076923076923073
pps,4,3,boston,0.0
gini,5,3,boston,0.3846153846153846
mutual_info,5,3,boston,0.5384615384615384
f_test,5,3,boston,0.5384615384615384
pimp,5,3,boston,0.3846153846153846
shap,5,3,boston,0.15384615384615385
pearson,5,3,boston,0.5384615384615384
spearman,5,3,boston,0.5384615384615384
kendall,5,3,boston,0.0
pps,5,3,boston,0.0
gini,6,3,boston,0.3846153846153846
mutual_info,6,3,boston,0.6153846153846154
f_test,6,3,boston,0.5384615384615384
pimp,6,3,boston,0.3846153846153846
shap,6,3,boston,0.5384615384615384
pearson,6,3,boston,0.5384615384615384
spearman,6,3,boston,0.5384615384615384
kendall,6,3,boston,0.3846153846153846
pps,6,3,boston,0.0
gini,7,3,boston,0.3846153846153846
mutual_info,7,3,boston,0.3076923076923077
f_test,7,3,boston,0.46153846153846156
pimp,7,3,boston,0.3846153846153846
shap,7,3,boston,0.0
pearson,7,3,boston,0.46153846153846156
spearman,7,3,boston,0.46153846153846156
kendall,7,3,boston,0.3846153846153846
pps,7,3,boston,0.0
gini,8,3,boston,0.3076923076923077
