imp_type,pp_coef,random_state,data_split,dataset
gini,0.9724266636659408,0,1,wine
mutual_info,0.9724266636659408,0,1,wine
f_test,0.8604776413962143,0,1,wine
pimp,0.9724266636659408,0,1,wine
shap,0.9724266636659408,0,1,wine
pearson,0.7226862685029383,0,1,wine
spearman,0.7226862685029383,0,1,wine
kendall,0.7226862685029383,0,1,wine
pps,0.4745067508097046,0,1,wine
gini,0.9724266636659408,1,1,wine
mutual_info,0.9724266636659408,1,1,wine
f_test,0.8881392802984274,1,1,wine
pimp,0.9724266636659408,1,1,wine
shap,0.9724266636659408,1,1,wine
pearson,0.7219920897067693,1,1,wine
spearman,0.7219920897067693,1,1,wine
kendall,0.7219920897067693,1,1,wine
pps,0.532598579824918,1,1,wine
gini,1.0,2,1,wine
mutual_info,1.0,2,1,wine
f_test,0.9133226324237559,2,1,wine
pimp,1.0,2,1,wine
shap,0.9447023593147859,2,1,wine
pearson,0.7424643077812564,2,1,wine
spearman,0.7424643077812564,2,1,wine
kendall,0.7424643077812564,2,1,wine
pps,0.5174114448809831,2,1,wine
gini,0.9724266636659408,3,1,wine
mutual_info,0.9724266636659408,3,1,wine
f_test,0.8604776413962143,3,1,wine
pimp,0.9724266636659408,3,1,wine
shap,0.946058600305422,3,1,wine
pearson,0.7226862685029383,3,1,wine
spearman,0.7226862685029383,3,1,wine
kendall,0.7226862685029383,3,1,wine
pps,0.5306983397213801,3,1,wine
gini,0.9724266636659408,4,1,wine
mutual_info,0.9724266636659408,4,1,wine
f_test,0.8881392802984274,4,1,wine
pimp,0.889755843514857,4,1,wine
shap,0.889755843514857,4,1,wine
pearson,0.7535224701945009,4,1,wine
spearman,0.7535224701945009,4,1,wine
kendall,0.7535224701945009,4,1,wine
pps,0.5293379448056887,4,1,wine
gini,0.9724266636659408,5,1,wine
mutual_info,0.9724266636659408,5,1,wine
f_test,0.889755843514857,5,1,wine
pimp,0.9724266636659408,5,1,wine
shap,0.9724266636659408,5,1,wine
pearson,0.7535224701945009,5,1,wine
spearman,0.7535224701945009,5,1,wine
kendall,0.7535224701945009,5,1,wine
pps,0.5254586977321194,5,1,wine
gini,0.9724266636659408,6,1,wine
mutual_info,0.9724266636659408,6,1,wine
f_test,0.8604776413962143,6,1,wine
pimp,0.9724266636659408,6,1,wine
shap,0.9724266636659408,6,1,wine
pearson,0.758191250254589,6,1,wine
spearman,0.758191250254589,6,1,wine
kendall,0.758191250254589,6,1,wine
