dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_100_seed_0,mutual_info,0,0,"[0, 1, 6, 3, 8, 7, 4, 2, 5, 9]","[0, 1]","[0.0136933  0.0122165  0.0132788  0.01470369 0.01270362 0.01323185
 0.01128349 0.01103625 0.01115916 0.01050283]"
regr_features_10_samples_100_seed_0,f_test,0,0,"[0, 1, 6, 9, 8, 4, 2, 3, 5, 7]","[0, 1]","[0.001821   0.00179793 0.00162894 0.00153707 0.0015058  0.0014889
 0.00149055 0.00151266 0.00141613 0.00134862]"
regr_features_10_samples_100_seed_0,pearson,0,0,"[0, 1, 6, 9, 8, 4, 2, 3, 5, 7]","[0, 1]","[0.00230209 0.00175082 0.00193131 0.00205105 0.00201211 0.00193908
 0.00211746 0.0021161  0.00239753 0.00193459]"
regr_features_10_samples_100_seed_0,spearman,0,0,"[0, 1, 6, 8, 4, 9, 2, 3, 7, 5]","[0, 1]","[0.00247468 0.00336982 0.00261929 0.0022625  0.00219657 0.00215512
 0.00192001 0.00184217 0.00201419 0.00196801]"
regr_features_10_samples_100_seed_0,kendall,0,0,"[0, 1, 6, 8, 4, 9, 2, 3, 7, 5]","[0, 1]","[0.01518707 0.01486127 0.01474847 0.0148518  0.01496822 0.01501024
 0.01475993 0.0161934  0.01511085 0.01533446]"
regr_features_10_samples_100_seed_0,pps,0,0,"[9, 2, 7, 6, 5, 3, 4, 8, 1, 0]","[9, 2]","[0.10138398 0.08622852 0.08949459 0.08440479 0.08568666 0.08621075
 0.08406664 0.08625848 0.08292856 0.08329952]"
regr_features_10_samples_100_seed_0,mutual_info,0,1,"[0, 1, 3, 4, 7, 8, 2, 5, 6, 9]","[0, 1]","[0.01430162 0.01448462 0.01287298 0.01420834 0.01271764 0.01342115
 0.01139685 0.01237474 0.01209181 0.0111371 ]"
regr_features_10_samples_100_seed_0,f_test,0,1,"[0, 1, 5, 4, 9, 6, 7, 3, 8, 2]","[0, 1]","[0.00157887 0.0014736  0.00168565 0.00162019 0.00175696 0.00164221
 0.00184643 0.00147848 0.00136257 0.00130036]"
regr_features_10_samples_100_seed_0,pearson,0,1,"[0, 1, 5, 4, 9, 6, 7, 3, 8, 2]","[0, 1]","[0.00203211 0.00193388 0.00193547 0.00174672 0.00145777 0.00149238
 0.00134862 0.00143718 0.00173425 0.00171558]"
regr_features_10_samples_100_seed_0,spearman,0,1,"[0, 1, 4, 5, 6, 7, 9, 3, 2, 8]","[0, 1]","[0.00247476 0.00194896 0.00174065 0.00203758 0.00218334 0.00207486
 0.0017927  0.00190034 0.00203388 0.0018743 ]"
