imp_type,max_perc,random_state,data_split,dataset
gini,0.013644567595315626,0,1,breast_cancer
mutual_info,0.013644567595315626,0,1,breast_cancer
f_test,0.015476207402381537,0,1,breast_cancer
pimp,0.027540305118720854,0,1,breast_cancer
shap,0.013644567595315626,0,1,breast_cancer
pearson,0.015476207402381537,0,1,breast_cancer
spearman,0.014253314478601231,0,1,breast_cancer
kendall,0.014253314478601231,0,1,breast_cancer
pps,0.014253314478601231,0,1,breast_cancer
gini,0.01403551476837972,1,1,breast_cancer
mutual_info,0.01403551476837972,1,1,breast_cancer
f_test,0.01403551476837972,1,1,breast_cancer
pimp,0.028138110382894377,1,1,breast_cancer
shap,0.01403551476837972,1,1,breast_cancer
pearson,0.01403551476837972,1,1,breast_cancer
spearman,0.01403551476837972,1,1,breast_cancer
kendall,0.01403551476837972,1,1,breast_cancer
pps,0.01403551476837972,1,1,breast_cancer
gini,0.013644567595315626,2,1,breast_cancer
mutual_info,0.013644567595315626,2,1,breast_cancer
f_test,0.013644567595315626,2,1,breast_cancer
pimp,0.027741726151849555,2,1,breast_cancer
shap,0.013644567595315626,2,1,breast_cancer
pearson,0.013644567595315626,2,1,breast_cancer
spearman,0.013644567595315626,2,1,breast_cancer
kendall,0.013644567595315626,2,1,breast_cancer
pps,0.0010006831420699136,2,1,breast_cancer
gini,0.013644567595315626,3,1,breast_cancer
mutual_info,0.013644567595315626,3,1,breast_cancer
f_test,0.014253314478601231,3,1,breast_cancer
pimp,0.013644567595315626,3,1,breast_cancer
shap,0.013644567595315626,3,1,breast_cancer
pearson,0.014253314478601231,3,1,breast_cancer
spearman,0.013644567595315626,3,1,breast_cancer
kendall,0.013644567595315626,3,1,breast_cancer
pps,0.013644567595315626,3,1,breast_cancer
gini,0.0,4,1,breast_cancer
mutual_info,0.0,4,1,breast_cancer
f_test,0.0,4,1,breast_cancer
pimp,0.013907398122772863,4,1,breast_cancer
shap,0.0,4,1,breast_cancer
pearson,0.0,4,1,breast_cancer
spearman,0.0,4,1,breast_cancer
kendall,0.0,4,1,breast_cancer
pps,0.0,4,1,breast_cancer
gini,0.014253314478601231,5,1,breast_cancer
mutual_info,0.013644567595315626,5,1,breast_cancer
f_test,0.013644567595315626,5,1,breast_cancer
pimp,0.04147584907553381,5,1,breast_cancer
shap,0.014253314478601231,5,1,breast_cancer
pearson,0.013644567595315626,5,1,breast_cancer
spearman,0.013644567595315626,5,1,breast_cancer
kendall,0.013644567595315626,5,1,breast_cancer
pps,0.028577792344147257,5,1,breast_cancer
gini,0.027415769670711354,6,1,breast_cancer
mutual_info,0.027415769670711354,6,1,breast_cancer
f_test,0.02803278688524591,6,1,breast_cancer
pimp,0.041500292312232956,6,1,breast_cancer
shap,0.027415769670711354,6,1,breast_cancer
pearson,0.02803278688524591,6,1,breast_cancer
spearman,0.027415769670711354,6,1,breast_cancer
kendall,0.027415769670711354,6,1,breast_cancer
pps,0.013585829309050057,6,1,breast_cancer
gini,0.013644567595315626,7,1,breast_cancer
mutual_info,0.013644567595315626,7,1,breast_cancer
f_test,0.013644567595315626,7,1,breast_cancer
pimp,0.013672558405772639,7,1,breast_cancer
shap,0.013644567595315626,7,1,breast_cancer
pearson,0.013644567595315626,7,1,breast_cancer
spearman,0.013644567595315626,7,1,breast_cancer
kendall,0.013644567595315626,7,1,breast_cancer
pps,0.0,7,1,breast_cancer
