imp_type,max_perc,random_state,data_split,dataset
gini,0.053891266153874205,0,1,boston
mutual_info,0.02987679582969484,0,1,boston
f_test,0.029876795829695206,0,1,boston
pimp,0.053891266153874205,0,1,boston
shap,0.053891266153874205,0,1,boston
pearson,0.029876795829694477,0,1,boston
spearman,0.043104400417180826,0,1,boston
kendall,0.043104400417180826,0,1,boston
pps,-0.030674087734939334,0,1,boston
gini,0.038113816004370304,1,1,boston
mutual_info,0.03285938136705191,1,1,boston
f_test,0.01940229012703451,1,1,boston
pimp,0.038113816004370304,1,1,boston
shap,0.03387322894928603,1,1,boston
pearson,0.01940229012703451,1,1,boston
spearman,0.03285938136705191,1,1,boston
kendall,0.03285938136705191,1,1,boston
pps,-0.053983055954234825,1,1,boston
gini,0.029547087392530973,2,1,boston
mutual_info,0.002811821350686436,2,1,boston
f_test,0.002811821350686436,2,1,boston
pimp,0.029547087392530744,2,1,boston
shap,0.008400145500540421,2,1,boston
pearson,0.0028118213506861996,2,1,boston
spearman,0.002811821350686318,2,1,boston
kendall,0.002811821350686436,2,1,boston
pps,-0.07879294572578262,2,1,boston
gini,0.045379505500614405,3,1,boston
mutual_info,0.014319006670326522,3,1,boston
f_test,-0.015960186456792678,3,1,boston
pimp,0.04537950550061429,3,1,boston
shap,0.02454277426186753,3,1,boston
pearson,-0.01596018645679293,3,1,boston
spearman,0.009642104378739073,3,1,boston
kendall,0.009642104378738697,3,1,boston
pps,-0.04381827682374825,3,1,boston
gini,0.0390075094210821,4,1,boston
mutual_info,0.0020374828521892868,4,1,boston
f_test,0.0020374828521892868,4,1,boston
pimp,0.03900750942108268,4,1,boston
shap,0.02110840168134345,4,1,boston
pearson,0.002037482852189642,4,1,boston
spearman,0.002037482852189641,4,1,boston
kendall,0.0020374828521899963,4,1,boston
pps,-0.05550172057779706,4,1,boston
gini,0.03374617370769631,5,1,boston
mutual_info,0.01891325856586017,5,1,boston
f_test,0.018913258565860416,5,1,boston
pimp,0.033746173707696184,5,1,boston
shap,0.03374617370769631,5,1,boston
pearson,0.01891325856586017,5,1,boston
spearman,0.01891325856586017,5,1,boston
kendall,0.018913258565860413,5,1,boston
pps,-0.05984107706184455,5,1,boston
gini,0.024310434486231096,6,1,boston
mutual_info,-0.011993516285795605,6,1,boston
f_test,-0.0217616072851956,6,1,boston
pimp,0.02431043448623097,6,1,boston
shap,-0.020581327506373762,6,1,boston
pearson,-0.0217616072851956,6,1,boston
spearman,-0.009830261478322083,6,1,boston
kendall,-0.009830261478322213,6,1,boston
pps,-0.0941434808324222,6,1,boston
gini,0.05921454148868017,7,1,boston
mutual_info,0.049043669088195574,7,1,boston
f_test,0.04904366908819569,7,1,boston
pimp,0.059214541488680286,7,1,boston
shap,0.05921454148868017,7,1,boston
pearson,0.049043669088195456,7,1,boston
spearman,0.04904366908819558,7,1,boston
kendall,0.04904366908819569,7,1,boston
pps,-0.008548481493232073,7,1,boston
gini,0.010402130378425257,8,1,boston
mutual_info,-0.00581420915267449,8,1,boston
f_test,-0.0711583367178025,8,1,boston
pimp,0.01040213037842502,8,1,boston
shap,0.002404162761709794,8,1,boston
pearson,-0.07115833671780177,8,1,boston
spearman,0.006567833362837651,8,1,boston
kendall,0.006567833362837533,8,1,boston
pps,-0.08840134321578022,8,1,boston
gini,0.006552232585662718,9,1,boston
mutual_info,0.0028604394114318255,9,1,boston
f_test,-1.8440734664180453e-05,9,1,boston
pimp,0.006552232585662968,9,1,boston
shap,0.0006618917690522212,9,1,boston
pearson,-1.844073466380329e-05,9,1,boston
spearman,-1.8440734664054733e-05,9,1,boston
kendall,-1.8440734664180442e-05,9,1,boston
pps,-0.05703704098994681,9,1,boston
gini,0.02224541243608709,0,2,boston
mutual_info,0.0222454124360871,0,2,boston
f_test,0.02224541243608709,0,2,boston
pimp,0.02224541243608747,0,2,boston
shap,0.01440053369929713,0,2,boston
pearson,0.02224541243608747,0,2,boston
spearman,0.02224541243608747,0,2,boston
kendall,0.02224541243608747,0,2,boston
pps,-0.04966786946966574,0,2,boston
gini,0.02068957448326541,1,2,boston
mutual_info,0.05070927881094653,1,2,boston
f_test,0.05070927881094614,1,2,boston
pimp,0.03859088879240472,1,2,boston
shap,0.013781870449851763,1,2,boston
pearson,0.05070927881094653,1,2,boston
spearman,0.050709278810946334,1,2,boston
kendall,0.050709278810946716,1,2,boston
pps,-0.0534757802357339,1,2,boston
gini,0.04943546044227506,2,2,boston
mutual_info,0.027892543469245457,2,2,boston
f_test,0.010711087568634427,2,2,boston
pimp,0.04943546044227506,2,2,boston
shap,0.02789254346924564,2,2,boston
pearson,0.010711087568634427,2,2,boston
spearman,0.010711087568633853,2,2,boston
kendall,0.010711087568633284,2,2,boston
pps,-0.06038678718381802,2,2,boston
gini,-0.006480657832075032,3,2,boston
mutual_info,-0.008295249120135802,3,2,boston
f_test,-0.042594105777084515,3,2,boston
pimp,-0.0064806578320744474,3,2,boston
shap,-0.006480657832075032,3,2,boston
pearson,-0.042594105777084515,3,2,boston
spearman,-0.022302787002608175,3,2,boston
kendall,-0.022302787002608175,3,2,boston
pps,-0.06095349404768778,3,2,boston
gini,0.020223260658256765,4,2,boston
mutual_info,0.008931540828791768,4,2,boston
f_test,0.008817016348361673,4,2,boston
pimp,0.020223260658256387,4,2,boston
shap,0.010149363115829204,4,2,boston
pearson,0.00881701634836206,4,2,boston
spearman,0.008817016348361868,4,2,boston
kendall,0.008817016348361868,4,2,boston
pps,-0.054756704704638295,4,2,boston
