imp_type,random_state,data_split,dataset,max_dropped
gini,0,1,wine,0.6153846153846154
mutual_info,0,1,wine,0.6153846153846154
f_test,0,1,wine,0.6153846153846154
pimp,0,1,wine,0.6153846153846154
shap,0,1,wine,0.6153846153846154
pearson,0,1,wine,0.15384615384615385
spearman,0,1,wine,0.15384615384615385
kendall,0,1,wine,0.15384615384615385
pps,0,1,wine,0.07692307692307687
gini,1,1,wine,0.6153846153846154
mutual_info,1,1,wine,0.6923076923076923
f_test,1,1,wine,0.6153846153846154
pimp,1,1,wine,0.6923076923076923
shap,1,1,wine,0.6923076923076923
pearson,1,1,wine,0.15384615384615385
spearman,1,1,wine,0.07692307692307687
kendall,1,1,wine,0.07692307692307687
pps,1,1,wine,0.07692307692307687
gini,2,1,wine,0.7692307692307692
mutual_info,2,1,wine,0.7692307692307692
f_test,2,1,wine,0.6153846153846154
pimp,2,1,wine,0.7692307692307692
shap,2,1,wine,0.6153846153846154
pearson,2,1,wine,0.23076923076923073
spearman,2,1,wine,0.23076923076923073
kendall,2,1,wine,0.23076923076923073
pps,2,1,wine,0.23076923076923073
gini,3,1,wine,0.6153846153846154
mutual_info,3,1,wine,0.6153846153846154
f_test,3,1,wine,0.6153846153846154
pimp,3,1,wine,0.6153846153846154
shap,3,1,wine,0.3846153846153846
pearson,3,1,wine,0.15384615384615385
spearman,3,1,wine,0.07692307692307687
kendall,3,1,wine,0.07692307692307687
pps,3,1,wine,0.07692307692307687
gini,4,1,wine,0.6153846153846154
mutual_info,4,1,wine,0.6153846153846154
f_test,4,1,wine,0.6153846153846154
pimp,4,1,wine,0.6923076923076923
shap,4,1,wine,0.6923076923076923
pearson,4,1,wine,0.0
spearman,4,1,wine,0.15384615384615385
kendall,4,1,wine,0.15384615384615385
pps,4,1,wine,0.15384615384615385
gini,5,1,wine,0.6153846153846154
mutual_info,5,1,wine,0.6153846153846154
f_test,5,1,wine,0.6153846153846154
pimp,5,1,wine,0.07692307692307687
shap,5,1,wine,0.6153846153846154
pearson,5,1,wine,0.23076923076923073
spearman,5,1,wine,0.23076923076923073
kendall,5,1,wine,0.23076923076923073
pps,5,1,wine,0.07692307692307687
gini,6,1,wine,0.6923076923076923
mutual_info,6,1,wine,0.6153846153846154
f_test,6,1,wine,0.6153846153846154
pimp,6,1,wine,0.6923076923076923
shap,6,1,wine,0.6923076923076923
pearson,6,1,wine,0.07692307692307687
spearman,6,1,wine,0.15384615384615385
kendall,6,1,wine,0.15384615384615385
pps,6,1,wine,0.07692307692307687
gini,7,1,wine,0.6923076923076923
mutual_info,7,1,wine,0.6153846153846154
f_test,7,1,wine,0.6153846153846154
pimp,7,1,wine,0.6923076923076923
shap,7,1,wine,0.6923076923076923
pearson,7,1,wine,0.15384615384615385
spearman,7,1,wine,0.15384615384615385
kendall,7,1,wine,0.15384615384615385
pps,7,1,wine,0.07692307692307687
gini,8,1,wine,0.6923076923076923
mutual_info,8,1,wine,0.6153846153846154
f_test,8,1,wine,0.6153846153846154
pimp,8,1,wine,0.6923076923076923
shap,8,1,wine,0.6923076923076923
pearson,8,1,wine,0.23076923076923073
spearman,8,1,wine,0.23076923076923073
kendall,8,1,wine,0.23076923076923073
pps,8,1,wine,0.07692307692307687
gini,9,1,wine,0.6153846153846154
mutual_info,9,1,wine,0.6153846153846154
f_test,9,1,wine,0.6153846153846154
pimp,9,1,wine,0.0
shap,9,1,wine,0.6923076923076923
pearson,9,1,wine,0.23076923076923073
spearman,9,1,wine,0.23076923076923073
kendall,9,1,wine,0.23076923076923073
pps,9,1,wine,0.07692307692307687
gini,0,0,wine,0.0
mutual_info,0,0,wine,0.0
f_test,0,0,wine,0.0
pimp,0,0,wine,0.0
shap,0,0,wine,0.0
pearson,0,0,wine,0.0
spearman,0,0,wine,0.0
kendall,0,0,wine,0.0
pps,0,0,wine,0.0
gini,1,0,wine,0.0
mutual_info,1,0,wine,0.0
f_test,1,0,wine,0.0
pimp,1,0,wine,0.0
shap,1,0,wine,0.0
pearson,1,0,wine,0.0
spearman,1,0,wine,0.0
kendall,1,0,wine,0.0
pps,1,0,wine,0.0
gini,2,0,wine,0.0
mutual_info,2,0,wine,0.0
f_test,2,0,wine,0.0
pimp,2,0,wine,0.0
shap,2,0,wine,0.0
pearson,2,0,wine,0.0
spearman,2,0,wine,0.0
kendall,2,0,wine,0.0
pps,2,0,wine,0.0
gini,3,0,wine,0.0
mutual_info,3,0,wine,0.0
f_test,3,0,wine,0.0
pimp,3,0,wine,0.0
shap,3,0,wine,0.0
pearson,3,0,wine,0.0
spearman,3,0,wine,0.0
kendall,3,0,wine,0.0
pps,3,0,wine,0.0
gini,4,0,wine,0.0
mutual_info,4,0,wine,0.0
f_test,4,0,wine,0.0
pimp,4,0,wine,0.0
shap,4,0,wine,0.0
pearson,4,0,wine,0.0
spearman,4,0,wine,0.0
kendall,4,0,wine,0.0
pps,4,0,wine,0.0
gini,5,0,wine,0.0
mutual_info,5,0,wine,0.0
f_test,5,0,wine,0.0
pimp,5,0,wine,0.0
shap,5,0,wine,0.0
pearson,5,0,wine,0.0
spearman,5,0,wine,0.0
kendall,5,0,wine,0.0
pps,5,0,wine,0.0
gini,6,0,wine,0.0
mutual_info,6,0,wine,0.0
f_test,6,0,wine,0.0
pimp,6,0,wine,0.0
shap,6,0,wine,0.0
pearson,6,0,wine,0.0
spearman,6,0,wine,0.0
kendall,6,0,wine,0.0
pps,6,0,wine,0.0
gini,7,0,wine,0.0
mutual_info,7,0,wine,0.0
f_test,7,0,wine,0.0
pimp,7,0,wine,0.0
shap,7,0,wine,0.0
pearson,7,0,wine,0.0
spearman,7,0,wine,0.0
kendall,7,0,wine,0.0
pps,7,0,wine,0.0
gini,8,0,wine,0.0
mutual_info,8,0,wine,0.0
f_test,8,0,wine,0.0
pimp,8,0,wine,0.0
shap,8,0,wine,0.0
pearson,8,0,wine,0.0
spearman,8,0,wine,0.0
kendall,8,0,wine,0.0
pps,8,0,wine,0.0
gini,9,0,wine,0.0
mutual_info,9,0,wine,0.0
f_test,9,0,wine,0.0
pimp,9,0,wine,0.0
shap,9,0,wine,0.0
pearson,9,0,wine,0.0
spearman,9,0,wine,0.0
kendall,9,0,wine,0.0
pps,9,0,wine,0.0
gini,0,2,wine,0.3846153846153846
mutual_info,0,2,wine,0.3846153846153846
f_test,0,2,wine,0.5384615384615384
pimp,0,2,wine,0.3846153846153846
shap,0,2,wine,0.3846153846153846
pearson,0,2,wine,0.07692307692307687
spearman,0,2,wine,0.07692307692307687
kendall,0,2,wine,0.0
pps,0,2,wine,0.07692307692307687
gini,1,2,wine,0.6923076923076923
mutual_info,1,2,wine,0.3076923076923077
f_test,1,2,wine,0.5384615384615384
pimp,1,2,wine,0.0
shap,1,2,wine,0.3076923076923077
pearson,1,2,wine,0.15384615384615385
spearman,1,2,wine,0.15384615384615385
kendall,1,2,wine,0.15384615384615385
pps,1,2,wine,0.15384615384615385
gini,2,2,wine,0.6153846153846154
mutual_info,2,2,wine,0.46153846153846156
f_test,2,2,wine,0.6153846153846154
pimp,2,2,wine,0.6923076923076923
shap,2,2,wine,0.6923076923076923
pearson,2,2,wine,0.15384615384615385
spearman,2,2,wine,0.15384615384615385
kendall,2,2,wine,0.15384615384615385
pps,2,2,wine,0.23076923076923073
gini,3,2,wine,0.6153846153846154
mutual_info,3,2,wine,0.6153846153846154
f_test,3,2,wine,0.6153846153846154
pimp,3,2,wine,0.6923076923076923
shap,3,2,wine,0.6153846153846154
pearson,3,2,wine,0.07692307692307687
spearman,3,2,wine,0.07692307692307687
kendall,3,2,wine,0.0
pps,3,2,wine,0.23076923076923073
gini,4,2,wine,0.46153846153846156
mutual_info,4,2,wine,0.46153846153846156
f_test,4,2,wine,0.5384615384615384
pimp,4,2,wine,0.3076923076923077
shap,4,2,wine,0.46153846153846156
pearson,4,2,wine,0.07692307692307687
spearman,4,2,wine,0.07692307692307687
kendall,4,2,wine,0.0
pps,4,2,wine,0.46153846153846156
gini,5,2,wine,0.6153846153846154
mutual_info,5,2,wine,0.6153846153846154
f_test,5,2,wine,0.6153846153846154
pimp,5,2,wine,0.07692307692307687
shap,5,2,wine,0.6923076923076923
pearson,5,2,wine,0.23076923076923073
spearman,5,2,wine,0.23076923076923073
kendall,5,2,wine,0.23076923076923073
pps,5,2,wine,0.23076923076923073
gini,6,2,wine,0.3846153846153846
mutual_info,6,2,wine,0.23076923076923073
f_test,6,2,wine,0.5384615384615384
pimp,6,2,wine,0.3846153846153846
shap,6,2,wine,0.3846153846153846
pearson,6,2,wine,0.07692307692307687
spearman,6,2,wine,0.07692307692307687
kendall,6,2,wine,0.0
pps,6,2,wine,0.23076923076923073
gini,7,2,wine,0.46153846153846156
mutual_info,7,2,wine,0.46153846153846156
f_test,7,2,wine,0.6153846153846154
