imp_type,pp_coef,random_state,data_split,dataset
gini,0.745985512621746,0,1,boston
mutual_info,0.685668494958271,0,1,boston
f_test,0.6537312858633048,0,1,boston
pimp,0.8382041000767377,0,1,boston
shap,0.3249533583396125,0,1,boston
pearson,0.6537312858633048,0,1,boston
spearman,0.6537312858633049,0,1,boston
kendall,0.685668494958271,0,1,boston
pps,0.22634487340571363,0,1,boston
gini,0.7294094420376759,1,1,boston
mutual_info,0.6921757018980413,1,1,boston
f_test,0.6742266962023271,1,1,boston
pimp,0.6742266962023271,1,1,boston
shap,0.7294094420376759,1,1,boston
pearson,0.6742266962023271,1,1,boston
spearman,0.6742266962023271,1,1,boston
kendall,0.6921757018980411,1,1,boston
pps,0.21653538360050745,1,1,boston
gini,0.764390515279391,2,1,boston
mutual_info,0.7132535239144503,2,1,boston
f_test,0.6871348341543214,2,1,boston
pimp,0.8353941493168053,2,1,boston
shap,0.7643905152793913,2,1,boston
pearson,0.6871348341543214,2,1,boston
spearman,0.6871348341543214,2,1,boston
kendall,0.7132535239144503,2,1,boston
pps,0.2260810606199843,2,1,boston
gini,0.7198670744711493,3,1,boston
mutual_info,0.6702118853609063,3,1,boston
f_test,0.6496215624118725,3,1,boston
pimp,0.6496215624118723,3,1,boston
shap,0.7198670744711495,3,1,boston
pearson,0.6496215624118724,3,1,boston
spearman,0.6496215624118725,3,1,boston
kendall,0.6702118853609063,3,1,boston
pps,0.21937561973428352,3,1,boston
gini,0.7635338422836143,4,1,boston
mutual_info,0.706797226610721,4,1,boston
f_test,0.6770981159625825,4,1,boston
pimp,0.7635338422836146,4,1,boston
shap,0.7635338422836146,4,1,boston
pearson,0.6770981159625824,4,1,boston
spearman,0.6770981159625828,4,1,boston
kendall,0.7067972266107212,4,1,boston
pps,0.2338642309654247,4,1,boston
gini,0.7346953071292768,5,1,boston
mutual_info,0.6915071713552037,5,1,boston
f_test,0.6766163368304269,5,1,boston
pimp,0.8399649956687337,5,1,boston
shap,0.7346953071292768,5,1,boston
pearson,0.6766163368304267,5,1,boston
spearman,0.6766163368304269,5,1,boston
kendall,0.6915071713552037,5,1,boston
pps,0.2210174925369831,5,1,boston
gini,0.6669537280742968,6,1,boston
mutual_info,0.6495207374362574,6,1,boston
f_test,0.6290187483291366,6,1,boston
pimp,0.8144259923295053,6,1,boston
shap,0.32093459947151953,6,1,boston
pearson,0.6290187483291366,6,1,boston
spearman,0.6290187483291366,6,1,boston
kendall,0.6495207374362573,6,1,boston
pps,0.2119588383873946,6,1,boston
gini,0.7574449969721115,7,1,boston
mutual_info,0.7296158536216208,7,1,boston
f_test,0.6967313820706028,7,1,boston
pimp,0.6967313820706028,7,1,boston
shap,0.34301438078357377,7,1,boston
pearson,0.6967313820706028,7,1,boston
spearman,0.6967313820706027,7,1,boston
kendall,0.729615853621621,7,1,boston
pps,0.23558232298991919,7,1,boston
gini,0.7385515307928682,8,1,boston
mutual_info,0.7029856463187725,8,1,boston
f_test,0.6722420498741146,8,1,boston
pimp,0.738551530792868,8,1,boston
shap,0.738551530792868,8,1,boston
pearson,0.6722420498741147,8,1,boston
spearman,0.6722420498741148,8,1,boston
kendall,0.7029856463187723,8,1,boston
pps,0.2272499342268551,8,1,boston
gini,0.7055604210438362,9,1,boston
mutual_info,0.6826871869026211,9,1,boston
f_test,0.6547212738016812,9,1,boston
pimp,0.7055604210438363,9,1,boston
shap,0.7055604210438363,9,1,boston
pearson,0.6547212738016814,9,1,boston
spearman,0.6547212738016813,9,1,boston
kendall,0.6826871869026213,9,1,boston
pps,0.22665302110916688,9,1,boston
gini,0.6624044714831626,0,2,boston
mutual_info,0.6206137953398104,0,2,boston
f_test,0.5821031956062839,0,2,boston
pimp,0.6624044714831624,0,2,boston
shap,0.6813650835238244,0,2,boston
pearson,0.5821031956062839,0,2,boston
spearman,0.6206137953398106,0,2,boston
kendall,0.6206137953398106,0,2,boston
pps,0.14743375035879563,0,2,boston
gini,0.6658721789324031,1,2,boston
mutual_info,0.6199198869209587,1,2,boston
f_test,0.5722979582659498,1,2,boston
pimp,0.6658721789324031,1,2,boston
shap,0.6897193454575685,1,2,boston
pearson,0.5722979582659496,1,2,boston
spearman,0.6199198869209586,1,2,boston
kendall,0.6199198869209588,1,2,boston
pps,0.14375015156641627,1,2,boston
gini,0.6841728581745244,2,2,boston
mutual_info,0.6143756063257393,2,2,boston
f_test,0.5713790095357018,2,2,boston
pimp,0.6841728581745243,2,2,boston
shap,0.649881139650439,2,2,boston
pearson,0.571379009535702,2,2,boston
spearman,0.6143756063257394,2,2,boston
kendall,0.6143756063257392,2,2,boston
pps,0.14833956862925787,2,2,boston
gini,0.6654483271543836,3,2,boston
mutual_info,0.605365103881788,3,2,boston
f_test,0.5640059096377015,3,2,boston
pimp,0.6654483271543836,3,2,boston
shap,0.6838558748915013,3,2,boston
pearson,0.5640059096377013,3,2,boston
spearman,0.6053651038817881,3,2,boston
kendall,0.605365103881788,3,2,boston
pps,0.14272835220812755,3,2,boston
gini,0.641880096300207,4,2,boston
mutual_info,0.599382450985387,4,2,boston
f_test,0.5707051973123531,4,2,boston
pimp,0.6418800963002069,4,2,boston
shap,0.6418800963002069,4,2,boston
pearson,0.5707051973123531,4,2,boston
spearman,0.599382450985387,4,2,boston
kendall,0.599382450985387,4,2,boston
pps,0.14973389173508367,4,2,boston
gini,0.6409485590748285,5,2,boston
