dataset,model,current_feature_str,mcc_test,init_mcc_test,mcc_gain_loss
wine,XGBClassifier,"{'color_intensity', 'proline', 'flavanoids', 'ash', 'od280/od315_of_diluted_wines', 'magnesium'}",1.0,1.0,0.0
wine,RandomForestClassifier,"{'color_intensity', 'proline', 'flavanoids', 'malic_acid', 'alcohol', 'od280/od315_of_diluted_wines', 'alcalinity_of_ash', 'hue'}",1.0,1.0,0.0
wine,DecisionTreeClassifier,"{'color_intensity', 'proline', 'flavanoids', 'malic_acid', 'alcalinity_of_ash'}",0.9725563416305436,0.9725563416305436,0.0
phishing,XGBClassifier,"{'double_slash_redirecting', 'Favicon', 'SSLfinal_State', 'Iframe', 'on_mouseover', 'having_Sub_Domain', 'URL_of_Anchor', 'RightClick', 'Page_Rank', 'Abnormal_URL', 'web_traffic', 'Request_URL', 'URL_Length', 'DNSRecord', 'Links_in_tags', 'Prefix_Suffix', 'Submitting_to_email', 'having_IP_Address', 'popUpWidnow', 'Google_Index', 'HTTPS_token', 'Links_pointing_to_page', 'Redirect', 'SFH', 'age_of_domain', 'Domain_registeration_length'}",0.9474607149954666,0.9419476653827019,0.59
phishing,RandomForestClassifier,"{'double_slash_redirecting', 'Favicon', 'SSLfinal_State', 'Iframe', 'having_Sub_Domain', 'URL_of_Anchor', 'Page_Rank', 'web_traffic', 'Request_URL', 'URL_Length', 'DNSRecord', 'Links_in_tags', 'Prefix_Suffix', 'Submitting_to_email', 'having_IP_Address', 'having_At_Symbol', 'popUpWidnow', 'Google_Index', 'HTTPS_token', 'Links_pointing_to_page', 'Redirect', 'SFH', 'age_of_domain', 'Statistical_report', 'Shortining_Service', 'Domain_registeration_length'}",0.951760277683838,0.9468502044735956,0.52
phishing,DecisionTreeClassifier,"{'double_slash_redirecting', 'SSLfinal_State', 'having_Sub_Domain', 'URL_of_Anchor', 'Page_Rank', 'web_traffic', 'Request_URL', 'popUpWidnow', 'on_mouseover', 'Abnormal_URL', 'URL_Length', 'DNSRecord', 'Links_in_tags', 'Prefix_Suffix', 'Submitting_to_email', 'having_IP_Address', 'Google_Index', 'HTTPS_token', 'Links_pointing_to_page', 'Redirect', 'SFH', 'age_of_domain', 'Domain_registeration_length'}",0.9347884501726068,0.929956274748494,0.52
mushroom,XGBClassifier,"{'population', 'gill-spacing', 'gill-color', 'gill-size', 'spore-print-color', 'odor'}",1.0,1.0,0.0
mushroom,RandomForestClassifier,"{'gill-color', 'stalk-surface-below-ring', 'gill-size', 'spore-print-color', 'odor'}",1.0,1.0,0.0
mushroom,RandomForestClassifier,"{'gill-size', 'spore-print-color', 'odor', 'stalk-surface-above-ring', 'ring-type'}",1.0,1.0,0.0
mushroom,RandomForestClassifier,"{'habitat', 'population', 'gill-size', 'spore-print-color', 'odor'}",1.0,1.0,0.0
mushroom,RandomForestClassifier,"{'population', 'stalk-surface-below-ring', 'gill-size', 'spore-print-color', 'odor'}",1.0,1.0,0.0
mushroom,RandomForestClassifier,"{'stalk-surface-below-ring', 'gill-size', 'spore-print-color', 'odor', 'bruises%3F'}",1.0,1.0,0.0
mushroom,DecisionTreeClassifier,"{'gill-color', 'gill-size', 'spore-print-color', 'odor', 'stalk-surface-above-ring', 'ring-type'}",1.0,1.0,0.0
mushroom,DecisionTreeClassifier,"{'gill-color', 'stalk-root', 'gill-size', 'spore-print-color', 'odor', 'stalk-color-below-ring'}",1.0,0.9986877330848263,0.13
mushroom,DecisionTreeClassifier,"{'population', 'gill-color', 'gill-size', 'stalk-root', 'spore-print-color', 'bruises%3F'}",1.0,0.9995899165890082,0.04
mushroom,DecisionTreeClassifier,"{'population', 'gill-color', 'stalk-root', 'gill-size', 'spore-print-color', 'odor'}",1.0,0.9996250665956645,0.04
breast_cancer,XGBClassifier,"{'worst texture', 'worst symmetry', 'compactness error', 'worst concavity', 'worst radius', 'mean concave points', 'concave points error', 'symmetry error', 'mean texture', 'worst smoothness', 'worst concave points', 'worst area', 'worst perimeter', 'area error', 'mean area'}",0.975485413880335,0.975485413880335,0.0
breast_cancer,RandomForestClassifier,"{'worst texture', 'worst radius', 'mean concave points', 'mean texture', 'worst smoothness', 'worst concave points', 'mean concavity', 'worst area', 'worst perimeter', 'mean perimeter', 'area error', 'mean radius', 'mean area'}",0.9754854138803348,0.9506627939735584,2.61
breast_cancer,DecisionTreeClassifier,"{'worst symmetry', 'worst concavity', 'worst radius', 'worst compactness', 'mean texture', 'worst concave points', 'worst fractal dimension', 'worst area'}",0.9625013365574848,0.8871974560470782,8.49
