dataset,model,current_feature_str,mse_test,init_mse_test,mse_gain_loss_pct
diabetes,XGBRegressor,"{'s2', 's6', 'bp', 'age', 's5', 's1', 'bmi'}",3352.718495612956,3082.4484070595604,-8.06
diabetes,RandomForestRegressor,"{'s2', 's6', 'age', 'sex', 's5', 's1', 'bmi'}",2734.082769849624,2904.8138389473684,6.24
diabetes,DecisionTreeRegressor,"{'s2', 's6', 'age', 's3', 's5', 's1', 's4', 'bmi'}",4574.541353383458,6214.87969924812,35.86
crime,XGBRegressor,"{'pctWWage', 'PctYoungKids2Par', 'LemasTotReqPerPop', 'PctPolicHisp', 'RacialMatchCommPol', 'indianPerCap', 'NumImmig', 'PctBSorMore', 'PctImmigRec10', 'FemalePctDiv', 'PersPerRentOccHous', 'NumUnderPov', 'blackPerCap', 'RentHighQ', 'LemasSwornFT', 'MedRent', 'racePctHisp', 'racepctblack', 'PctTeen2Par', 'PctLargHouseFam', 'PolicBudgPerPop', 'PopDens', 'PctRecentImmig', 'PctNotHSGrad', 'PctLargHouseOccup', 'population', 'agePct65up', 'PctHousOccup', 'PctPolicWhite', 'NumInShelters', 'agePct16t24', 'PctHousNoPhone', 'LemasPctOfficDrugUn', 'PctKids2Par', 'racePctWhite', 'NumIlleg', 'RentMedian', 'PctUnemployed', 'PctImmigRec5', 'PctPersDenseHous', 'MedRentPctHousInc', 'PctPolicBlack', 'PctLess9thGrade', 'medFamInc', 'LemasTotalReq', 'PctRecImmig10', 'pctWPubAsst', 'PctOccupManu', 'PctIlleg', 'PctPersOwnOccup', 'LemasSwFTFieldPerPop', 'PctPolicAsian', 'PctRecImmig8', 'PersPerOccupHous', 'PctEmploy', 'TotalPctDiv', 'LemasSwFTFieldOps', 'PctVacantBoarded', 'HousVacant', 'OwnOccLowQuart', 'PolicPerPop', 'OtherPerCap', 'MedOwnCostPctIncNoMtg', 'OfficAssgnDrugUnits', 'PctRecImmig5', 'PolicAveOTWorked', 'PctFam2Par', 'pctWInvInc', 'agePct12t29', 'PctPolicMinor', 'MedNumBR', 'PolicReqPerOffic', 'PctHousLess3BR', 'LemasSwFTPerPop', 'LemasPctPolicOnPatr', 'PolicOperBudg', 'HispPerCap', 'OwnOccMedVal', 'RentLowQ', 'LemasGangUnitDeploy', 'PctNotSpeakEnglWell', 'perCapInc', 'pctUrban', 'MalePctDivorce', 'PctSpeakEnglOnly', 'PctImmigRec8', 'whitePerCap', 'NumKindsDrugsSeiz', 'PctOccupMgmtProf', 'PersPerOwnOccHous', 'PctForeignBorn', 'PctPopUnderPov', 'numbUrban', 'AsianPerCap', 'PctHousOwnOcc', 'NumStreet', 'PctWOFullPlumb', 'PctSameHouse85', 'medIncome', 'MalePctNevMarr'}",0.0162082484181843,0.0189004774957129,16.61
crime,RandomForestRegressor,"{'PctLess9thGrade', 'medFamInc', 'LemasTotalReq', 'pctWPubAsst', 'PctYoungKids2Par', 'PctOccupManu', 'PctIlleg', 'PctPersOwnOccup', 'RacialMatchCommPol', 'indianPerCap', 'NumImmig', 'FemalePctDiv', 'TotalPctDiv', 'PctVacantBoarded', 'HousVacant', 'OwnOccLowQuart', 'NumUnderPov', 'blackPerCap', 'PolicPerPop', 'racePctHisp', 'PolicAveOTWorked', 'racepctblack', 'PctTeen2Par', 'PctLargHouseFam', 'PctFam2Par', 'pctWInvInc', 'agePct12t29', 'MedNumBR', 'PctNotHSGrad', 'PolicReqPerOffic', 'PctHousLess3BR', 'PctLargHouseOccup', 'population', 'RentLowQ', 'perCapInc', 'NumInShelters', 'MalePctDivorce', 'PctSpeakEnglOnly', 'agePct16t24', 'PctHousNoPhone', 'PctOccupMgmtProf', 'PctForeignBorn', 'PctKids2Par', 'PctPopUnderPov', 'numbUrban', 'racePctWhite', 'PctHousOwnOcc', 'NumStreet', 'PctWOFullPlumb', 'NumIlleg', 'medIncome', 'PctUnemployed', 'PctPersDenseHous', 'MedRentPctHousInc'}",0.0161890696160267,0.0173062536727879,6.9
crime,DecisionTreeRegressor,{'PctKids2Par'},0.025856791231673937,0.039095931247999816,51.2
boston,XGBRegressor,"{'PTRATIO', 'DIS', 'B', 'NOX', 'CRIM', 'RM', 'LSTAT', 'RAD', 'TAX', 'INDUS'}",10.294831638240408,11.197966463839116,8.77
boston,RandomForestRegressor,"{'DIS', 'RM', 'LSTAT', 'NOX'}",10.742001966165406,9.071402871240595,-15.55
boston,DecisionTreeRegressor,"{'PTRATIO', 'ZN', 'NOX', 'RM', 'AGE', 'LSTAT', 'RAD', 'TAX', 'INDUS'}",16.149467105263152,17.376710526315787,7.6
ames_housing,XGBRegressor,"{'Garage Yr Blt', 'Kitchen Qual', 'MS SubClass', 'Sale Condition', 'Heating QC', 'Mo Sold', 'Year Built', 'Garage Area', 'Garage Cars', 'Lot Area', 'MS Zoning', 'Open Porch SF', 'Lot Frontage', 'Functional', 'Fireplaces', 'Gr Liv Area', 'Total Bsmt SF', 'Neighborhood', 'Bedroom AbvGr', 'BsmtFin Type 1', 'Wood Deck SF', 'Exterior 1st', 'Mas Vnr Area', 'Full Bath', '1st Flr SF', 'Year Remod/Add', 'Screen Porch', 'Exter Qual', 'Bsmt Qual', 'Garage Type', '2nd Flr SF', 'Roof Style', 'BsmtFin SF 1', 'Condition 1', 'Garage Finish', 'Bsmt Unf SF', 'Overall Cond', 'Overall Qual'}",431868249.62473196,477304801.1398435,10.52
