dataset,model,current_feature_str,mse_test,init_mse_test_mean,mse_gain_loss_pct
diabetes,XGBRegressor,"{'s5', 'bmi'}",4988.291584049753,3902.4724910580435,-21.77
diabetes,RandomForestRegressor,"{'s5', 'bmi'}",3755.0777819346804,3343.8804033082415,-10.95
diabetes,DecisionTreeRegressor,"{'s5', 'bmi'}",6094.4483110595465,6308.333909774543,3.51
crime,XGBRegressor,"{'PctLess9thGrade', 'medFamInc', 'pctWPubAsst', 'PctYoungKids2Par', 'PctIlleg', 'PctPersOwnOccup', 'FemalePctDiv', 'TotalPctDiv', 'NumUnderPov', 'racePctHisp', 'PctTeen2Par', 'racepctblack', 'PctFam2Par', 'pctWInvInc', 'PctNotHSGrad', 'MalePctDivorce', 'PctHousNoPhone', 'PctKids2Par', 'PctPopUnderPov', 'racePctWhite', 'PctHousOwnOcc', 'NumIlleg', 'PctUnemployed', 'PctPersDenseHous'}",0.0190758514892413,0.022346424619860226,17.15
crime,RandomForestRegressor,"{'pctWPubAsst', 'PctYoungKids2Par', 'PctIlleg', 'FemalePctDiv', 'TotalPctDiv', 'PctVacantBoarded', 'HousVacant', 'OtherPerCap', 'PctWorkMom', 'racePctHisp', 'PctTeen2Par', 'PctLargHouseFam', 'racepctblack', 'PctFam2Par', 'pctWInvInc', 'PctHousOccup', 'MalePctDivorce', 'PctKids2Par', 'PctBornSameState', 'racePctWhite', 'AsianPerCap', 'NumStreet', 'NumIlleg', 'PctPersDenseHous'}",0.0168896636227045,0.019592732147579263,16.0
crime,DecisionTreeRegressor,"{'PctEmplProfServ', 'pctWPubAsst', 'PctYoungKids2Par', 'LemasTotReqPerPop', 'PctIlleg', 'PersPerRentOccHous', 'TotalPctDiv', 'HousVacant', 'PctWorkMom', 'racePctHisp', 'racepctblack', 'PctFam2Par', 'pctWInvInc', 'agePct65up', 'MalePctDivorce', 'PctKids2Par', 'PctPopUnderPov', 'PctBornSameState', 'numbUrban', 'AsianPerCap', 'racePctWhite', 'PctHousOwnOcc', 'medIncome', 'MedOwnCostPctInc'}",0.0316320534223706,0.03940549582637735,24.57
boston,XGBRegressor,"{'DIS', 'RM', 'NOX'}",14.52855334907603,13.316548605528968,-8.34
boston,RandomForestRegressor,"{'RM', 'LSTAT', 'NOX'}",17.26074571447369,13.260919136710523,-23.17
boston,DecisionTreeRegressor,"{'RM', 'LSTAT', 'NOX'}",27.400147243107774,26.983920394736845,-1.52
ames_housing,XGBRegressor,"{'Lot Area', '1st Flr SF', 'Garage Yr Blt', 'Year Remod/Add', 'BsmtFin SF 1', 'Garage Cars', 'Fireplaces', 'Bsmt Qual', 'Gr Liv Area', 'Year Built', 'Total Bsmt SF', 'Neighborhood', 'Overall Cond', 'Garage Area', 'Overall Qual', 'Mas Vnr Area'}",527633765.3126681,559073642.4972898,5.96
ames_housing,RandomForestRegressor,"{'Lot Area', 'Full Bath', '1st Flr SF', 'Year Remod/Add', 'Kitchen Qual', 'BsmtFin SF 1', 'Garage Cars', 'Bsmt Qual', 'Gr Liv Area', 'Year Built', 'Total Bsmt SF', '2nd Flr SF', 'Overall Cond', 'Garage Area', 'Overall Qual', 'Mas Vnr Area'}",550313032.8005207,599341237.7808443,8.91
ames_housing,DecisionTreeRegressor,"{'Lot Area', '1st Flr SF', 'Year Remod/Add', 'Kitchen Qual', 'BsmtFin SF 1', 'Lot Frontage', 'Garage Cars', 'Exter Qual', 'Gr Liv Area', 'Year Built', 'Total Bsmt SF', 'Bedroom AbvGr', 'Roof Style', 'Garage Area', 'Overall Qual', 'Mas Vnr Area'}",1013972782.2118452,1298981724.773394,28.11
